artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres
Barry Manilow,0.484604,0.39362,239079.22,0.4553,0.003863334,0.151946,-10.11066,0.038636,119.98928,0.382344,37.36,0,1,100,"['adult standards', 'bubblegum pop', 'disco', 'lounge', 'mellow gold', 'quiet storm', 'soft rock', 'yacht rock']"
Barry McGuire,0.400857143,0.638857143,195609.7143,0.397,0.002092164,0.131828571,-16.24,0.039085714,127.4528571,0.778142857,26.14285714,9,1,14,"['bubblegum pop', 'folk rock']"
Barry White,0.124805796,0.605473684,308291.5895,0.526652632,0.088838408,0.142774737,-11.67394737,0.046409474,104.9973263,0.648663158,41.2,7,0,95,"['adult standards', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
Barry Wordsworth,0.9566,0.26987,505537.3,0.0787,0.7642,0.10997,-23.3751,0.04045,100.8303,0.13122,41.9,7,1,20,"['classical performance', 'orchestral performance']"
Bart Crow,0.16345,0.4695,213396,0.697,8.00E-07,0.1167,-6.276,0.06775,133.979,0.5685,51.5,4,1,4,"['red dirt', 'texas country']"
Bartholomeo Campagnoli,0.995,0.227,230760,0.131,0.901,0.116,-22.332,0.049,74.37,0.19,1,1,0,1,[]
Baryara,0.72,0.345,199188,0.571,0.0134,0.582,-9.096,0.0636,73.339,0.826,0,2,1,2,[]
Barão Vermelho,0.2415525,0.6965,214363,0.61425,0.001345,0.271575,-10.62375,0.043025,136.13875,0.7555,57.25,4,1,8,"['brazilian rock', 'mpb', 'rock gaucho', 'rock nacional brasileiro']"
Barón Rojo,0.14055,0.2395,373866.5,0.6935,0.001544,0.3235,-8.5435,0.0578,105.777,0.3925,41.5,2,0,4,"['latin metal', 'rock en espanol', 'spanish metal']"
Bas,0.339130769,0.699307692,235453.1538,0.572230769,8.21E-05,0.126523077,-7.769,0.239307692,136.7573077,0.452169231,61.84615385,7,1,13,"['metropopolis', 'modern rock', 'pop', 'pop rock']"
Bascom Lamar Lunsford,0.929,0.656222222,172210.5556,0.167055556,9.42E-05,0.136188889,-16.37144444,0.073744444,124.6584444,0.571777778,6.555555556,10,1,18,"['appalachian folk', 'banjo', 'country gospel', 'old-time', 'vintage country folk', 'vintage old-time']"
Basement,0.00144,0.429,227340,0.798,0.0717,0.0788,-6.268,0.0468,139.061,0.225,53,4,1,2,"['alternative emo', 'anthem emo', 'melodic hardcore', 'modern alternative rock', 'pop punk']"
Basement Jaxx,0.027387233,0.63,249984.3333,0.900333333,0.037343845,0.276333333,-4.2115,0.068583333,136.2495,0.5625,51.16666667,5,1,6,"['alternative dance', 'big beat', 'disco house', 'electronica', 'new rave', 'vocal house']"
Bashir Qawal,0.991,0.397,198832.75,0.121075,0.03226065,0.37025,-12.93475,0.0952,73.81575,0.531,0,11,1,8,[]
Bashy,0.0725,0.73,223467,0.639,0.000795,0.174,-6.987,0.142,102.333,0.563,51,0,1,1,['grime']
Basia,0.23995,0.723375,247958.375,0.54375,0.003409294,0.1607125,-12.847375,0.0466375,109.539375,0.64875,34,0,1,16,['smooth jazz']
Basic Black,0.37,0.687,376426,0.339,3.88E-06,0.307,-11.935,0.0381,119.822,0.344,36,0,0,2,['new jack swing']
Basie's Bad Boys,0.96625,0.67775,176293.25,0.2425,0.79775,0.31025,-15.35175,0.064475,111.32175,0.817,7.5,7,1,8,[]
Basil Poledouris,0.853,0.469,260800,0.3559,0.096501345,0.13245,-16.027,0.0352,109.199,0.322,33.5,7,0,4,"['classic soundtrack', 'scorecore', 'soundtrack', 'video game music']"
Basil Valdez,0.786,0.346,246840,0.242,0,0.294,-15.311,0.0311,140.823,0.339,57,1,1,2,['classic opm']
Basilio Garcia and Band,0.8325,0.4085,184536.75,0.287,0.002071775,0.22215,-18.45625,0.077325,162.8835,0.7815,0,7,1,8,[]
Bass Mekanik,0,0.133,31000,0,0,0,-39.753,0,140.044,0,42,10,1,2,['miami bass']
